ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DATE,CURRENT_ASSESSMENT
6837572000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2897,02-JUL-2025,2057.4
5675182000,PULIYA NO. 9_20052,10,SM,950,05-JUL-2025,3293.44
9152182000,SHIPRI_20053,10,SM,620,16-JUL-2025,722.15
7438591762,SUTI MILL_20055,10,SM,5526,04-JUL-2025,6020.07
4557957363,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,2116,15-JUL-2025,2436.68
7102984284,UNNAV GATE_20056,10,MOBMRI,1562,14-JUL-2025,1852.97
8165072497,SUTI MILL_20055,10,MOBILEBILL,2667,31-JUL-2025,3030.1
6463274134,SUTI MILL_20055,10,MOBILEBILL,106,11-JUL-2025,188.73
8639215428,RANI MAHAL_20050,20,MOBILEBILL,5128,16-JUL-2025,5116.74
9314014520,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,616,29-JUL-2025,725.4
4337543000,SHIPRI_20053,22,MRI,26790,18-JUL-2025,26765.37
2261020864,PULIYA NO. 9_20052,10,SM,2774,14-JUL-2025,3119.31
7137769076,MUNNA LAL POWER HOUSE_20049,10,SM,1070,14-JUL-2025,1292.5
2660382000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,3349,08-JUL-2025,3733.52
0485311394,SHIPRI_20053,10,SM,3749,02-JUL-2025,4184.88
4617182000,UNNAV GATE_20056,10,MOBILEBILL,2117,22-JUL-2025,2428.05
2720272000,UNNAV GATE_20056,10,SM,6390,23-JUL-2025,7145.97
9434182000,SHIPRI_20053,10,SM,2000,16-JUL-2025,1595.89
5477182000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,1171,18-JUL-2025,1360.78
5071825345,SHIPRI_20053,10,SM,809,17-JUL-2025,961.49
6425672000,RANI MAHAL_20050,20,OCR_CORAL,1897,21-JUL-2025,1896.35
6176972000,RANI MAHAL_20050,20,MOBILEBILL,1486,12-JUL-2025,1486.55
8344734838,SUTI MILL_20055,10,MOBMRI,1659,17-JUL-2025,1937.43
7078060123,SUTI MILL_20055,10,MOBILEBILL,871,21-JUL-2025,1047.25
7640372000,PULIYA NO. 9_20052,10,SC,110,27-JUL-2025,-24.94
8877172000,SHIPRI_20053,10,SM,1425,15-JUL-2025,1680.19
3363182000,SHIPRI_20053,46,MOBILEBILL,8422,10-JUL-2025,4462.43
7467966790,RANI MAHAL_20050,10,MOBMRI,129,17-JUL-2025,209.98
9679072000,UNNAV GATE_20056,10,SM,1987,04-JUL-2025,1579.7
0292972000,SHIPRI_20053,10,SC,6800,16-JUL-2025,7760.3
2467872000,SHIPRI_20053,10,MRI,9658,17-JUL-2025,10357.03
4069572000,SHIPRI_20053,10,SM,1894,15-JUL-2025,2214.97
5014895431,SHIPRI_20053,10,SM,1199,15-JUL-2025,1438.19
7539572000,SHIPRI_20053,10,MRI,13895,15-JUL-2025,14913.63
0177709937,SHIPRI_20053,20,MOBMRI,2516,28-JUL-2025,1399.09
6086003171,UNNAV GATE_20056,10,SM,394,22-JUL-2025,466.97
1849282000,RANI MAHAL_20050,10,MOBILEBILL,4311,21-JUL-2025,4739.47
7514572000,UNNAV GATE_20056,10,OCR_CORAL,760,29-JUL-2025,246.39
8291382000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,4241,08-JUL-2025,4651.3
9841872000,RANI MAHAL_20050,20,MOBMRI,841,16-JUL-2025,838.38
7002372000,UNNAV GATE_20056,10,MOBILEBILL,2480,21-JUL-2025,2833.14
7420013432,SHIPRI_20053,10,OCR_CORAL,1957,17-JUL-2025,2259.56
5865082000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,3826,18-JUL-2025,4266.23
7596589076,UNNAV GATE_20056,10,MOBMRI,1357,11-JUL-2025,1616.52
5710948261,SHIPRI_20053,10,SM,1203,14-JUL-2025,1438
3755151346,JAIL CHOWRAHA_20051,10,OCR_CORAL,1647,10-JUL-2025,1950.46
0471862299,SHIPRI_20053,10,MOBMRI,749,16-JUL-2025,880.8
3383972000,SUTI MILL_20055,10,MOBILEBILL,934,14-JUL-2025,1124.06
1963891668,SUTI MILL_20055,10,MOBILEBILL,2738,15-JUL-2025,3104.88
9710536065,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2594,16-JUL-2025,2938.08
6582972000,SHIPRI_20053,10,SM,4988,09-JUL-2025,5457.12
7388472000,RANI MAHAL_20050,10,SM,408,17-JUL-2025,471.47
6674711134,JAIL CHOWRAHA_20051,10,MOBMRI,8377,10-JUL-2025,8980.4
8317104065,UNNAV GATE_20056,10,MOBMRI,865,12-JUL-2025,1037.21
2879680226,SUTI MILL_20055,10,SM,2854,05-JUL-2025,3209.62
3645082000,RANI MAHAL_20050,10,SC,2686,19-JUL-2025,-38904.74
7878188550,SUTI MILL_20055,93,MOBMRI,4022,23-JUL-2025,4068.84
5125794776,HYDEL COLONY_20202,10,SM,3368,16-JUL-2025,3732.82
9580372000,RANI MAHAL_20050,10,OCR_CORAL,1696,09-JUL-2025,1981.88
5207572000,SUTI MILL_20055,10,SM,2520,27-JUL-2025,2993.93
0389852159,SHIPRI_20053,10,SM,1115,03-JUL-2025,1321.2
9212572000,PULIYA NO. 9_20052,10,SM,2518,05-JUL-2025,1071.81
4173182000,JAIL CHOWRAHA_20051,10,MOBILEBILL,606,24-JUL-2025,705.91
2301043542,MUNNA LAL POWER HOUSE_20049,10,SM,1474,28-JUL-2025,1713.53
6478872000,MUNNA LAL POWER HOUSE_20049,10,,1029,01-JUL-2025,1255.85
8916418227,JAIL CHOWRAHA_20051,20,SM,5318,03-JUL-2025,5314.88
9998198395,RANI MAHAL_20050,10,MOBILEBILL,924,19-JUL-2025,1068.21
2485772000,MUNNA LAL POWER HOUSE_20049,20,OCR_CORAL,2850,14-JUL-2025,2849.57
1162539487,SHIPRI_20053,10,SM,202,11-JUL-2025,407.79
6994772753,MUNNA LAL POWER HOUSE_20049,H13,MRI,28856,30-JUL-2025,28855.14
8490672000,SHIPRI_20053,10,MOBILEBILL,3293,15-JUL-2025,3627.83
9471165042,UNNAV GATE_20056,10,OCR_CORAL,1710,30-JUL-2025,1951.35
9654472000,SUTI MILL_20055,10,MOBILEBILL,2012,14-JUL-2025,2211.41
4959772000,SHIPRI_20053,20,MOBMRI,6161,12-JUL-2025,2992.15
2113272000,SHIPRI_20053,10,MOBILEBILL,40,12-JUL-2025,39.75
1987645813,UNNAV GATE_20056,10,MOBMRI,2676,01-JUL-2025,1586.41
5012772000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,2807,30-JUL-2025,3148.3
5107872000,JAIL CHOWRAHA_20051,10,SM,954,05-JUL-2025,1143.4
5782505766,MUNNA LAL POWER HOUSE_20049,10,MRB,17951,16-JUL-2025,5310.03
4388772000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,455,22-JUL-2025,519.95
1692372000,JAIL CHOWRAHA_20051,10,SM,573,03-JUL-2025,674.19
8490082000,SHIPRI_20053,10,SM,3625,17-JUL-2025,3109.14
7235672000,RANI MAHAL_20050,20,MOBILEBILL,604,19-JUL-2025,607.53
0224572000,MUNNA LAL POWER HOUSE_20049,20,OCR_CORAL,5287,23-JUL-2025,2649.39
7729972000,UNNAV GATE_20056,10,MOBILEBILL,1136,12-JUL-2025,1332.06
8299148057,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,2877,09-JUL-2025,1686.82
8104672000,UNNAV GATE_20056,10,SM,2306,10-JUL-2025,2675.22
8775182000,JAIL CHOWRAHA_20051,10,OCR_CORAL,2352,15-JUL-2025,2669.96
5327372000,SHIPRI_20053,10,SM,2340,04-JUL-2025,2685.54
7205004467,HYDEL COLONY_20202,10,SM,5624,10-JUL-2025,6184.66
7456172000,JAIL CHOWRAHA_20051,10,OCR_CORAL,8071,07-JUL-2025,8648.14
2549172000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,4009,12-JUL-2025,4426.89
3708072000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2305,10-JUL-2025,2595.62
7869372000,RANI MAHAL_20050,10,MOBMRI,1636,07-JUL-2025,1930.4
8178672000,MUNNA LAL POWER HOUSE_20049,10,SM,1102,15-JUL-2025,1314.94
6616062805,SHIPRI_20053,10,SM,2805,11-JUL-2025,3177.65
0961498735,RANI MAHAL_20050,10,SM,2700,16-JUL-2025,1934.08
7967334083,SHIPRI_20053,10,MOBMRI,3817,31-JUL-2025,4219.88
8623172000,SHIPRI_20053,10,SM,1165,24-JUL-2025,1385.58
5857573766,SUTI MILL_20055,10,MOBILEBILL,2747,10-JUL-2025,3133.17
3634382000,JAIL CHOWRAHA_20051,20,SM,703,11-JUL-2025,703.62
4361772769,UNNAV GATE_20056,10,MOBILEBILL,3218,18-JUL-2025,3470.63
3656182000,RANI MAHAL_20050,10,OCR_CORAL,1258,14-JUL-2025,1490.34
9929372000,RANI MAHAL_20050,10,OCR_CORAL,6320,26-JUL-2025,1533.07
2414109569,SUTI MILL_20055,10,MRI,552,10-JUL-2025,581.56
9534382000,JAIL CHOWRAHA_20051,20,MOBMRI,1280,10-JUL-2025,1305.6
